Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001084,Male,Yes,0,Graduate,No,2708,1411,125,360,1,Semiurban,Y
LP001085,Male,Yes,0,Graduate,No,6240,0,200,360,1,Urban,N
LP001086,Male,Yes,0,Not Graduate,No,4344,736,125,360,1,Rural,Y
LP001087,Male,Yes,1,Graduate,No,6000,0,205,360,1,Urban,N
LP001088,Male,Yes,0,Graduate,No,4692,0,120,360,1,Semiurban,Y
LP001089,Male,Yes,0,Not Graduate,Yes,4166,7210,324,360,1,Urban,Y
LP001090,Male,Yes,1,Graduate,No,4160,1500,120,360,1,Rural,Y
LP001091,Male,No,0,Not Graduate,No,2783,0,26,360,1,Rural,N
LP001092,Male,Yes,2,Graduate,No,7000,0,400,360,1,Semiurban,Y
LP001093,Male,Yes,1,Graduate,No,5000,2667,180,360,1,Rural,Y
LP001094,Male,Yes,0,Graduate,No,3643,0,124,360,0,Rural,N
LP001095,Male,Yes,0,Graduate,Yes,4400,0,128,360,1,Rural,Y
LP001096,Male,Yes,1,Graduate,No,11146,0,376,360,1,Urban,N
LP001097,Male,Yes,2,Graduate,Yes,4600,0,170,360,1,Semiurban,Y
LP001098,Male,Yes,1,Graduate,No,5000,1625,120,360,1,Rural,Y
LP001099,Male,Yes,1,Graduate,Yes,2875,1750,105,360,1,Rural,N
LP001100,Male,Yes,2,Graduate,No,3229,2738,128,360,1,Semiurban,Y
LP001101,Female,No,0,Graduate,No,2300,0,125,360,0,Semiurban,N
LP001102,Male,Yes,1,Graduate,No,2958,2900,120,360,1,Urban,Y
LP001103,Male,Yes,0,Graduate,No,3750,4750,130,360,1,Rural,Y
LP001104,Male,No,0,Graduate,No,3541,0,112,360,1,Urban,Y
LP001105,Male,Yes,2,Graduate,Yes,5500,9000,240,360,1,Semiurban,Y
LP001106,Male,Yes,0,Not Graduate,No,2882,1843,123,360,0,Rural,N
LP001107,Male,Yes,2,Not Graduate,No,1845,1427,98,360,1,Rural,Y
LP001108,Female,Yes,0,Graduate,No,4695,0,120,360,1,Rural,Y
LP001109,Male,Yes,0,Graduate,No,3410,4053,112,360,1,Rural,Y
LP001110,Male,Yes,1,Graduate,Yes,6600,0,150,360,1,Urban,Y
LP001111,Male,Yes,0,Graduate,Yes,5760,0,180,360,1,Semiurban,N
LP001112,Male,Yes,1,Not Graduate,No,3089,0,100,360,1,Rural,Y
LP001113,Male,Yes,0,Graduate,No,4166,7210,184,360,1,Urban,Y
LP001114,Male,Yes,0,Not Graduate,No,2016,0,70,180,1,Urban,N
LP001115,Male,Yes,1,Graduate,No,1907,2365,120,360,1,Rural,Y
LP001116,Male,Yes,0,Graduate,No,3427,0,136,360,1,Rural,Y
LP001117,Male,Yes,0,Graduate,No,6000,0,200,360,1,Rural,Y
LP001118,Male,Yes,2,Not Graduate,Yes,5000,0,160,360,1,Rural,Y
LP001119,Male,Yes,0,Not Graduate,No,3015,0,85,360,1,Rural,Y
LP001120,Male,Yes,2,Graduate,Yes,20000,0,600,360,1,Semiurban,Y
LP001121,Male,Yes,1,Graduate,No,2071,2550,100,360,1,Urban,Y
LP001122,Male,Yes,0,Not Graduate,Yes,3704,2000,120,360,1,Rural,Y
LP001123,Female,Yes,0,Graduate,Yes,3000,0,120,360,1,Semiurban,N
LP001124,Male,Yes,1,Graduate,No,2500,2720,128,360,1,Semiurban,Y
LP001125,Male,Yes,1,Graduate,No,2265,2791,87,360,1,Rural,Y
LP001126,Male,Yes,0,Not Graduate,No,2500,2000,120,360,1,Rural,N
LP001127,Female,No,0,Graduate,No,3400,0,100,360,1,Semiurban,Y
LP001128,Male,Yes,1,Graduate,No,5200,1800,150,360,1,Rural,Y
LP001129,Male,No,0,Not Graduate,No,1800,0,50,360,0,Urban,N
LP001130,Female,Yes,0,Graduate,Yes,7000,0,300,360,1,Urban,Y
LP001131,Male,Yes,2,Graduate,Yes,8000,4000,500,360,1,Semiurban,Y
LP001132,Male,Yes,3+,Not Graduate,Yes,5000,0,150,360,1,Rural,N
LP001133,Male,Yes,0,Not Graduate,No,1500,2000,70,360,0,Rural,N
LP001134,Female,No,0,Graduate,No,3200,2500,125,360,1,Urban,Y
LP001135,Male,Yes,2,Graduate,Yes,9000,0,400,360,1,Semiurban,Y
LP001136,Male,Yes,1,Graduate,No,6000,2000,220,360,1,Rural,Y
LP001137,Female,No,0,Graduate,No,4000,0,120,360,1,Urban,Y
LP001138,Male,Yes,0,Graduate,No,2000,0,80,360,1,Rural,Y
LP001139,Male,Yes,1,Graduate,Yes,9000,0,500,360,1,Urban,Y
LP001140,Female,Yes,0,Graduate,Yes,7500,0,280,360,1,Semiurban,Y
LP001141,Male,Yes,2,Graduate,No,3500,2000,180,360,1,Semiurban,Y
LP001142,Male,Yes,3+,Graduate,Yes,10000,0,650,360,1,Rural,N
LP001143,Male,Yes,0,Graduate,No,2400,2400,125,360,1,Rural,Y
LP001144,Female,No,0,Graduate,Yes,3000,0,100,360,1,Urban,N
LP001145,Male,Yes,2,Graduate,No,6000,4000,300,360,1,Semiurban,Y
LP001146,Female,Yes,1,Graduate,No,3500,1000,123,360,1,Semiurban,Y
LP001147,Male,Yes,0,Graduate,No,4000,2000,200,360,1,Rural,N
LP001148,Male,Yes,2,Graduate,No,9000,0,400,360,1,Urban,Y
LP001149,Male,No,0,Graduate,No,3000,0,95,360,1,Urban,Y
LP001150,Female,Yes,0,Graduate,Yes,7500,0,250,360,1,Rural,Y
LP001151,Male,Yes,2,Not Graduate,No,3900,1800,160,360,1,Semiurban,N
LP001152,Male,Yes,0,Not Graduate,No,2900,2000,120,360,1,Rural,N
LP001153,Female,No,0,Graduate,Yes,4100,0,135,360,1,Urban,Y
LP001154,Female,Yes,2,Graduate,Yes,12500,0,320,360,1,Semiurban,Y
LP001155,Male,Yes,0,Graduate,No,4600,1500,150,360,1,Urban,Y
LP001156,Male,Yes,1,Not Graduate,No,3200,2000,120,360,0,Rural,N
LP001157,Male,Yes,0,Graduate,No,5000,1200,180,360,0,Urban,N
LP001158,Male,No,0,Graduate,No,3200,700,70,360,1,Rural,Y
LP001159,Male,Yes,0,Not Graduate,No,6000,0,180,360,1,Rural,Y
LP001160,Male,Yes,1,Graduate,No,3931,8333,187,360,1,Urban,Y
LP001161,Male,Yes,2,Graduate,No,10000,0,600,360,1,Semiurban,Y
LP001162,Female,Yes,0,Graduate,Yes,5000,0,140,360,1,Semiurban,Y
LP001163,Male,Yes,0,Not Graduate,No,3620,0,90,360,1,Urban,Y
LP001164,Male,Yes,0,Not Graduate,Yes,3083,0,76,360,1,Rural,Y
LP001165,Male,Yes,2,Graduate,Yes,7000,0,380,360,1,Rural,Y
LP001166,Male,No,0,Not Graduate,No,3000,0,65,360,1,Rural,Y
LP001167,Male,Yes,1,Graduate,Yes,3500,0,127,360,1,Semiurban,Y
LP001168,Male,Yes,0,Graduate,No,5522,0,128,360,1,Urban,N
LP001169,Female,No,0,Graduate,No,2400,3800,125,360,1,Semiurban,Y
LP001170,Male,Yes,1,Graduate,No,7500,0,255,360,1,Semiurban,Y
